,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
7700,Soprano,Dingue,Chasseur d'étoiles,album,0.80,0.64,0.00,-4.15,0.19,0.01,0.00,0.07,0.92,160.96,206107.00
7701,Soprano,Roule,L'Everest (Deluxe Edition),album,0.64,0.68,7.00,-5.55,0.04,0.41,0.00,0.20,0.30,90.04,238893.00
7702,Soprano,3615 Bonheur,Chasseur d’étoiles : Multiverse Edition,album,0.66,0.92,11.00,-5.17,0.17,0.06,0.00,0.14,0.55,166.88,214213.00
7703,Soprano,No Me Mires Más,Ensemble (Deluxe Version),album,0.75,0.91,0.00,-4.13,0.05,0.09,0.00,0.06,0.71,94.02,250867.00
7704,Soprano,Venga Mi,Chasseur d'étoiles (Stadium Edition),album,0.77,0.85,8.00,-1.77,0.25,0.05,0.00,0.10,0.56,132.08,169453.00
7705,Soprano,Hiro (feat. Indila),La colombe et le corbeau,album,0.47,0.73,11.00,-6.94,0.44,0.50,0.00,0.09,0.47,92.41,281533.00
7706,Soprano,Musica (feat. Ninho),Du Phoenix aux étoiles...,album,0.57,0.61,6.00,-5.93,0.21,0.59,0.00,0.15,0.35,113.30,202760.00
7707,Sarah McLachlan,Angel,Surfacing,album,0.53,0.07,1.00,-16.09,0.04,0.95,0.00,0.11,0.13,117.13,270400.00
7708,Sarah McLachlan,"When She Loved Me - From ""Toy Story 2"" / Soundtrack Version",Toy Story Favorites,single,0.39,0.18,5.00,-12.04,0.04,0.98,0.00,0.09,0.24,67.20,183440.00
7709,Sarah McLachlan,Blackbird,"Rarities, B-Sides and Other Stuff, Volume 2",compilation,0.44,0.35,9.00,-8.55,0.03,0.87,0.00,0.10,0.44,186.58,141200.00
7710,Sarah McLachlan,Hallelujah,Here It Is: A Tribute to Leonard Cohen,album,0.26,0.22,0.00,-13.00,0.04,0.87,0.00,0.12,0.16,176.52,380067.00
7711,Sarah McLachlan,God Rest Ye Merry Gentlemen / We Three Kings,Barenaked For The Holidays,album,0.57,0.55,5.00,-8.77,0.04,0.67,0.00,0.65,0.79,91.84,206480.00
7712,Sarah McLachlan,Adia,Surfacing,album,0.53,0.37,3.00,-10.54,0.03,0.72,0.00,0.16,0.25,76.00,244667.00
7713,Sarah McLachlan,Building a Mystery,Surfacing,album,0.51,0.52,2.00,-8.60,0.02,0.40,0.00,0.13,0.47,81.02,247307.00
