,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
0,Gorillaz,Feel Good Inc.,Demon Days,album,0.82,0.71,6.00,-6.68,0.18,0.01,0.00,0.61,0.77,138.56,222640.00
1,Gorillaz,Rhinestone Eyes,Plastic Beach,album,0.68,0.70,8.00,-5.82,0.03,0.09,0.00,0.05,0.85,92.76,200173.00
2,Gorillaz,New Gold (feat. Tame Impala and Bootie Brown),New Gold (feat. Tame Impala and Bootie Brown),single,0.70,0.92,1.00,-3.93,0.05,0.04,0.05,0.12,0.55,108.01,215150.00
3,Gorillaz,On Melancholy Hill,Plastic Beach,album,0.69,0.74,2.00,-5.81,0.03,0.00,0.51,0.06,0.58,120.42,233867.00
4,Gorillaz,Clint Eastwood,Gorillaz,album,0.66,0.69,10.00,-8.63,0.17,0.03,0.00,0.07,0.53,167.95,340920.00
5,Gorillaz,DARE,Demon Days,album,0.76,0.89,11.00,-5.85,0.04,0.02,0.09,0.30,0.97,120.26,245000.00
6,Gorillaz,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,New Gold (feat. Tame Impala and Bootie Brown) [Dom Dolla Remix],single,0.72,0.90,4.00,-7.19,0.06,0.01,0.26,0.33,0.36,127.03,274142.00
7,Gorillaz,She's My Collar (feat. Kali Uchis),Humanz (Deluxe),album,0.73,0.82,11.00,-5.89,0.03,0.01,0.08,0.11,0.46,140.16,209560.00
8,Gorillaz,Cracker Island (feat. Thundercat),Cracker Island (feat. Thundercat),single,0.74,0.91,2.00,-3.34,0.05,0.00,0.10,0.33,0.64,120.01,213750.00
9,Gorillaz,Dirty Harry,Demon Days,album,0.63,0.88,10.00,-7.18,0.16,0.03,0.08,0.67,0.87,192.30,230426.00
10,Red Hot Chili Peppers,Californication,Californication (Deluxe Edition),album,0.59,0.77,9.00,-2.79,0.03,0.00,0.00,0.13,0.33,96.48,329733.00
11,Red Hot Chili Peppers,Under the Bridge,Blood Sugar Sex Magik (Deluxe Edition),album,0.56,0.35,4.00,-13.50,0.05,0.06,0.00,0.14,0.46,84.58,264307.00
12,Red Hot Chili Peppers,Can't Stop,By the Way (Deluxe Edition),album,0.62,0.94,9.00,-3.44,0.05,0.02,0.00,0.17,0.88,91.46,269000.00
13,Red Hot Chili Peppers,Scar Tissue,Californication (Deluxe Edition),album,0.60,0.72,0.00,-4.80,0.03,0.08,0.00,0.11,0.55,88.97,215907.00
14,Red Hot Chili Peppers,Otherside,Californication (Deluxe Edition),album,0.46,0.80,0.00,-3.27,0.06,0.00,0.00,0.08,0.51,123.23,255373.00
15,Red Hot Chili Peppers,Snow (Hey Oh),Stadium Arcadium,album,0.43,0.90,11.00,-3.67,0.05,0.12,0.00,0.12,0.60,104.66,334667.00
16,Red Hot Chili Peppers,Dani California,Stadium Arcadium,album,0.56,0.91,0.00,-2.36,0.04,0.02,0.00,0.35,0.73,96.18,282160.00
17,Red Hot Chili Peppers,By the Way,By the Way (Deluxe Edition),album,0.45,0.97,0.00,-4.94,0.11,0.03,0.00,0.10,0.20,122.44,216933.00
18,Red Hot Chili Peppers,Give It Away,Blood Sugar Sex Magik (Deluxe Edition),album,0.67,0.94,7.00,-9.92,0.05,0.00,0.09,0.15,0.78,91.58,282907.00
19,Red Hot Chili Peppers,Dark Necessities,The Getaway,album,0.70,0.74,5.00,-6.78,0.07,0.07,0.02,0.11,0.20,91.96,302000.00
20,50 Cent,In Da Club,Get Rich Or Die Tryin',album,0.90,0.72,6.00,-2.78,0.35,0.26,0.00,0.07,0.81,90.06,193467.00
21,50 Cent,Candy Shop,The Massacre,album,0.61,0.57,11.00,-7.96,0.47,0.03,0.00,0.38,0.76,125.17,209107.00
22,50 Cent,Just A Lil Bit,The Massacre,album,0.49,0.69,1.00,-6.67,0.41,0.03,0.01,0.32,0.53,96.95,237707.00
23,50 Cent,P.I.M.P.,Get Rich Or Die Tryin',album,0.70,0.76,10.00,-3.01,0.34,0.04,0.00,0.04,0.89,78.69,249467.00
24,50 Cent,Many Men (Wish Death),Get Rich Or Die Tryin',album,0.65,0.83,6.00,-2.93,0.35,0.02,0.00,0.13,0.42,108.52,256227.00
25,50 Cent,Disco Inferno,The Massacre,album,0.93,0.66,3.00,-4.76,0.23,0.21,0.00,0.28,0.71,97.02,214227.00
26,50 Cent,21 Questions,Get Rich Or Die Tryin',album,0.58,0.81,6.00,-3.91,0.32,0.35,0.00,0.05,0.91,90.01,224427.00
27,50 Cent,Is This Love ('09) (feat. 50 Cent),Curtain Call 2,album,0.85,0.78,8.00,-4.22,0.26,0.07,0.00,0.18,0.66,94.03,212013.00
28,50 Cent,If I Can't,Get Rich Or Die Tryin',album,0.89,0.63,11.00,-2.52,0.30,0.24,0.00,0.02,0.84,93.98,196640.00
29,50 Cent,Best Friend - Remix,Best Friend (Remix),single,0.55,0.64,10.00,-3.53,0.31,0.37,0.00,0.11,0.57,181.73,254493.00
30,Metallica,Enter Sandman (Remastered),Metallica (Remastered),album,0.57,0.83,6.00,-8.41,0.03,0.00,0.01,0.06,0.62,123.30,331560.00
31,Metallica,Nothing Else Matters (Remastered),Metallica (Remastered),album,0.55,0.39,4.00,-9.79,0.03,0.05,0.00,0.08,0.17,142.37,388733.00
32,Metallica,Master of Puppets (Remastered),Master of Puppets (Remastered Deluxe Box Set),album,0.54,0.83,4.00,-9.11,0.04,0.00,0.42,0.15,0.56,105.25,515387.00
33,Metallica,Whiskey In The Jar,"Garage, Inc.",album,0.51,0.97,10.00,-3.75,0.04,0.00,0.00,0.19,0.53,132.97,304893.00
34,Metallica,The Unforgiven (Remastered),Metallica (Remastered),album,0.53,0.58,7.00,-9.47,0.03,0.02,0.01,0.26,0.21,139.50,387160.00
35,Metallica,One (Remastered),...And Justice for All (Remastered Deluxe Box Set),album,0.44,0.69,7.00,-9.15,0.06,0.00,0.08,0.42,0.43,103.01,446146.00
36,Metallica,For Whom The Bell Tolls (Remastered),Ride The Lightning (Deluxe Remaster),album,0.51,0.86,0.00,-6.15,0.07,0.01,0.01,0.07,0.26,117.91,309973.00
37,Metallica,Lux Æterna,Lux Æterna,single,0.39,1.00,11.00,-2.96,0.08,0.00,0.00,0.12,0.19,130.57,205680.00
38,Metallica,Sad But True (Remastered),Metallica (Remastered),album,0.62,0.88,7.00,-6.01,0.03,0.00,0.00,0.06,0.45,89.24,324600.00
39,Metallica,Screaming Suicide,Screaming Suicide,single,0.43,0.97,4.00,-3.45,0.05,0.00,0.02,0.24,0.28,101.13,330453.00
40,Coldplay,Yellow,Parachutes,album,0.43,0.66,11.00,-7.23,0.03,0.00,0.00,0.23,0.29,173.37,266773.00
41,Coldplay,Viva La Vida,Viva La Vida or Death and All His Friends,album,0.49,0.62,5.00,-7.12,0.03,0.10,0.00,0.11,0.42,138.02,242373.00
42,Coldplay,Sparks,Parachutes,album,0.37,0.27,1.00,-10.51,0.03,0.75,0.05,0.10,0.17,102.62,227093.00
43,Coldplay,Something Just Like This,Memories...Do Not Open,album,0.62,0.64,11.00,-6.77,0.03,0.05,0.00,0.16,0.45,103.02,247160.00
44,Coldplay,The Scientist,A Rush of Blood to the Head,album,0.56,0.44,5.00,-7.22,0.02,0.73,0.00,0.11,0.21,146.28,309600.00
45,Coldplay,A Sky Full of Stars,Ghost Stories,album,0.55,0.68,6.00,-6.47,0.03,0.01,0.00,0.21,0.16,124.97,267867.00
46,Coldplay,Paradise,Mylo Xyloto,album,0.45,0.59,5.00,-6.76,0.03,0.05,0.00,0.08,0.21,139.63,278719.00
47,Coldplay,Hymn for the Weekend,A Head Full of Dreams,album,0.49,0.69,0.00,-6.49,0.04,0.21,0.00,0.33,0.41,90.03,258267.00
48,Coldplay,My Universe,Music Of The Spheres,album,0.57,0.71,1.00,-6.27,0.04,0.01,0.00,0.33,0.47,105.01,226198.00
49,Coldplay,Fix You,X&Y,album,0.21,0.42,3.00,-8.74,0.03,0.16,0.00,0.11,0.12,138.18,295533.00
50,Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],single,0.79,0.81,6.00,-8.97,0.04,0.04,0.00,0.10,0.86,116.05,248413.00
51,Daft Punk,One More Time,Discovery,album,0.61,0.70,2.00,-8.62,0.13,0.02,0.00,0.33,0.48,122.75,320357.00
52,Daft Punk,Instant Crush (feat. Julian Casablancas),Random Access Memories,album,0.78,0.59,10.00,-9.52,0.03,0.04,0.62,0.08,0.52,109.94,337560.00
53,Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers),Random Access Memories,album,0.81,0.79,6.00,-9.40,0.04,0.04,0.00,0.07,0.86,116.05,369627.00
54,Daft Punk,Around the World,Homework,album,0.96,0.80,7.00,-5.31,0.15,0.00,0.89,0.09,0.84,121.29,429533.00
55,Daft Punk,"Harder, Better, Faster, Stronger",Discovery,album,0.82,0.72,6.00,-8.90,0.14,0.04,0.00,0.36,0.69,123.47,224693.00
56,Daft Punk,Something About Us,Discovery,album,0.88,0.48,9.00,-12.67,0.10,0.44,0.72,0.05,0.38,99.96,232667.00
57,Daft Punk,Lose Yourself to Dance (feat. Pharrell Williams),Random Access Memories,album,0.83,0.66,10.00,-7.83,0.06,0.08,0.00,0.08,0.67,100.16,353893.00
58,Daft Punk,Veridis Quo,Discovery,album,0.61,0.69,9.00,-13.93,0.05,0.48,0.95,0.10,0.12,106.90,345187.00
59,Daft Punk,Digital Love,Discovery,album,0.64,0.66,9.00,-8.40,0.03,0.05,0.87,0.34,0.53,124.73,301373.00
60,Linkin Park,In the End,Hybrid Theory (Bonus Edition),album,0.56,0.86,3.00,-5.87,0.06,0.01,0.00,0.21,0.40,105.14,216880.00
61,Linkin Park,Numb,Meteora,album,0.50,0.86,9.00,-4.15,0.04,0.00,0.00,0.64,0.24,110.02,185587.00
62,Linkin Park,What I've Done,Minutes to Midnight,album,0.62,0.93,5.00,-5.29,0.03,0.01,0.00,0.14,0.29,120.12,205613.00
63,Linkin Park,Numb / Encore,Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course,single,0.69,0.79,2.00,-4.25,0.17,0.06,0.00,0.58,0.75,107.05,205733.00
64,Linkin Park,One Step Closer,Hybrid Theory (Bonus Edition),album,0.49,0.97,9.00,-4.42,0.05,0.00,0.00,0.08,0.54,95.14,157333.00
65,Linkin Park,Faint,Meteora,album,0.55,0.98,4.00,-3.55,0.13,0.11,0.00,0.07,0.59,135.10,162600.00
66,Linkin Park,Bleed It Out,Minutes to Midnight,album,0.53,0.97,1.00,-3.65,0.05,0.11,0.00,0.61,0.60,140.13,166373.00
67,Linkin Park,Papercut,Hybrid Theory (Bonus Edition),album,0.52,0.94,9.00,-3.99,0.11,0.00,0.00,0.62,0.66,150.18,184867.00
68,Linkin Park,Crawling,Hybrid Theory (Bonus Edition),album,0.58,0.70,4.00,-5.57,0.03,0.05,0.00,0.54,0.30,105.08,208960.00
69,Linkin Park,BURN IT DOWN,LIVING THINGS,album,0.59,0.97,9.00,-4.45,0.05,0.01,0.00,0.07,0.59,110.01,230253.00
70,Radiohead,Creep,Pablo Honey,album,0.52,0.43,7.00,-9.94,0.04,0.01,0.00,0.13,0.10,91.84,238640.00
71,Radiohead,No Surprises,OK Computer,album,0.26,0.39,5.00,-10.65,0.03,0.06,0.00,0.11,0.12,76.43,229120.00
72,Radiohead,Karma Police,OK Computer,album,0.36,0.50,7.00,-9.13,0.03,0.06,0.00,0.17,0.32,74.81,264067.00
73,Radiohead,High and Dry,The Bends,album,0.42,0.38,4.00,-11.78,0.03,0.07,0.02,0.09,0.35,87.57,257480.00
74,Radiohead,Exit Music (For A Film),OK Computer,album,0.29,0.28,4.00,-11.36,0.03,0.22,0.12,0.17,0.20,121.60,267187.00
75,Radiohead,Weird Fishes/ Arpeggi,In Rainbows,album,0.53,0.61,11.00,-8.03,0.04,0.77,0.76,0.09,0.20,152.96,318187.00
76,Radiohead,Jigsaw Falling Into Place,In Rainbows,album,0.46,0.83,11.00,-6.09,0.05,0.11,0.00,0.07,0.81,165.65,248893.00
77,Radiohead,Fake Plastic Trees,The Bends,album,0.46,0.23,2.00,-12.59,0.03,0.17,0.10,0.20,0.14,73.54,290707.00
78,Radiohead,Just,The Bends,album,0.29,0.77,7.00,-6.91,0.09,0.00,0.01,0.08,0.36,175.70,234800.00
79,Radiohead,Nude,In Rainbows,album,0.52,0.34,4.00,-9.79,0.03,0.83,0.58,0.09,0.17,128.38,255387.00
80,AC/DC,Highway to Hell,Highway to Hell,album,0.57,0.91,6.00,-4.79,0.13,0.06,0.00,0.16,0.42,115.73,208400.00
81,AC/DC,Thunderstruck,The Razors Edge,album,0.50,0.89,4.00,-5.18,0.04,0.00,0.01,0.22,0.26,133.52,292880.00
82,AC/DC,Back In Black,Back In Black,album,0.31,0.70,9.00,-5.68,0.05,0.01,0.01,0.08,0.76,188.39,255493.00
83,AC/DC,You Shook Me All Night Long,Back In Black,album,0.53,0.77,7.00,-5.51,0.06,0.00,0.00,0.39,0.76,127.36,210173.00
84,AC/DC,T.N.T.,High Voltage,album,0.75,0.76,9.00,-5.22,0.30,0.15,0.00,0.10,0.44,126.37,214667.00
85,AC/DC,Hells Bells,Back In Black,album,0.39,0.87,4.00,-4.77,0.05,0.01,0.01,0.27,0.30,106.77,312293.00
86,AC/DC,Dirty Deeds Done Dirt Cheap,Dirty Deeds Done Dirt Cheap,album,0.67,0.91,11.00,-4.88,0.17,0.21,0.00,0.14,0.51,135.65,231933.00
87,AC/DC,Shoot to Thrill,Back In Black,album,0.46,0.90,2.00,-5.30,0.07,0.00,0.09,0.40,0.48,141.04,317427.00
88,AC/DC,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),High Voltage,album,0.46,0.86,3.00,-3.55,0.09,0.13,0.05,0.06,0.53,135.96,301227.00
89,AC/DC,Rock N Roll Train,Black Ice,album,0.55,0.93,2.00,-2.36,0.06,0.00,0.01,0.28,0.70,118.40,261507.00
90,Black Eyed Peas,I Gotta Feeling,THE E.N.D. (THE ENERGY NEVER DIES),album,0.74,0.77,0.00,-6.38,0.03,0.09,0.00,0.51,0.61,127.97,289133.00
91,Black Eyed Peas,DON'T YOU WORRY,ELEVATION,album,0.83,0.87,11.00,-5.28,0.03,0.18,0.00,0.18,0.48,131.97,194438.00
92,Black Eyed Peas,Where Is The Love?,Elephunk,album,0.83,0.70,5.00,-3.22,0.18,0.11,0.00,0.13,0.81,94.09,272533.00
93,Black Eyed Peas,Just Can’t Get Enough,The Beginning,album,0.66,0.63,0.00,-8.69,0.18,0.19,0.00,0.11,0.26,94.05,219427.00
94,Black Eyed Peas,GIRL LIKE ME,TRANSLATION,album,0.97,0.49,2.00,-8.78,0.19,0.02,0.02,0.07,0.31,124.03,222523.00
95,Black Eyed Peas,Pump It,Monkey Business,album,0.65,0.93,1.00,-3.15,0.18,0.01,0.00,0.75,0.74,153.65,213067.00
96,Black Eyed Peas,Pump It Louder,Pump It Louder,single,0.66,0.94,4.00,-2.27,0.19,0.01,0.00,0.83,0.54,126.02,158571.00
97,Black Eyed Peas,Meet Me Halfway,THE E.N.D. (THE ENERGY NEVER DIES),album,0.80,0.63,11.00,-6.86,0.07,0.00,0.00,0.32,0.40,130.00,284373.00
98,Black Eyed Peas,RITMO (Bad Boys For Life),TRANSLATION,album,0.73,0.72,10.00,-6.97,0.06,0.03,0.00,0.73,0.67,105.09,214855.00
99,Black Eyed Peas,SIMPLY THE BEST,ELEVATION,album,0.87,0.79,1.00,-6.05,0.13,0.20,0.00,0.13,0.65,126.04,236190.00
100,Michael Jackson,Billie Jean,Thriller,album,0.93,0.46,11.00,-9.62,0.05,0.02,0.04,0.04,0.88,117.00,294227.00
101,Michael Jackson,Chicago,XSCAPE,album,0.61,0.76,7.00,-2.68,0.18,0.08,0.00,0.19,0.55,176.09,245507.00
102,Michael Jackson,Beat It,Thriller,album,0.78,0.71,3.00,-9.03,0.05,0.02,0.00,0.23,0.90,138.73,258400.00
103,Michael Jackson,Smooth Criminal - 2012 Remaster,Bad (Remastered),album,0.85,0.98,8.00,-3.95,0.08,0.25,0.47,0.31,0.60,118.19,257760.00
104,Michael Jackson,Rock with You - Single Version,Off the Wall,album,0.81,0.54,1.00,-12.52,0.04,0.18,0.00,0.16,0.85,114.03,220627.00
105,Michael Jackson,Don't Stop 'Til You Get Enough,Off the Wall,album,0.88,0.82,11.00,-9.88,0.09,0.13,0.05,0.18,0.95,118.88,365467.00
106,Michael Jackson,They Don't Care About Us,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",album,0.86,0.91,0.00,-5.54,0.13,0.21,0.01,0.32,0.73,89.95,284160.00
107,Michael Jackson,Remember the Time,Dangerous,album,0.83,0.92,5.00,-2.38,0.06,0.15,0.00,0.31,0.80,108.00,239227.00
108,Michael Jackson,The Way You Make Me Feel - 2012 Remaster,Bad (Remastered),album,0.88,0.85,1.00,-4.52,0.15,0.05,0.00,0.14,0.54,114.47,298120.00
109,Michael Jackson,Love Never Felt So Good,XSCAPE,album,0.78,0.72,7.00,-6.21,0.04,0.13,0.00,0.07,0.71,117.51,246027.00
110,P!nk,Just Give Me a Reason (feat. Nate Ruess),The Truth About Love,album,0.78,0.55,2.00,-7.27,0.05,0.35,0.00,0.13,0.44,95.00,242733.00
111,P!nk,Never Gonna Not Dance Again,Never Gonna Not Dance Again,single,0.67,0.80,5.00,-4.01,0.09,0.03,0.00,0.16,0.77,113.80,225789.00
112,P!nk,Raise Your Glass,Raise Your Glass,single,0.70,0.71,7.00,-5.01,0.08,0.00,0.00,0.03,0.62,122.02,202960.00
113,P!nk,Try,The Truth About Love,album,0.67,0.63,2.00,-7.08,0.03,0.00,0.00,0.09,0.55,104.00,247907.00
114,P!nk,So What,Funhouse (Expanded Edition),album,0.53,0.87,11.00,-3.08,0.04,0.00,0.00,0.24,0.46,126.02,215160.00
115,P!nk,What About Us,Beautiful Trauma,album,0.49,0.59,1.00,-6.18,0.05,0.03,0.00,0.09,0.19,113.61,269600.00
116,P!nk,Cover Me In Sunshine,All I Know So Far: Setlist,album,0.47,0.59,5.00,-6.86,0.14,0.05,0.00,0.13,0.29,159.70,138573.00
117,P!nk,TRUSTFALL,TRUSTFALL,single,0.64,0.89,8.00,-3.89,0.09,0.00,0.00,0.15,0.25,122.03,237200.00
118,P!nk,Who Knew,I'm Not Dead,album,0.69,0.73,9.00,-4.57,0.03,0.00,0.00,0.08,0.46,140.00,208493.00
119,P!nk,True Love (feat. Lily Allen),The Truth About Love,album,0.46,0.82,9.00,-4.76,0.31,0.00,0.00,0.11,0.58,192.21,230733.00
120,Eminem,Mockingbird,Encore (Deluxe Version),album,0.64,0.68,0.00,-3.80,0.27,0.21,0.00,0.16,0.25,84.04,250760.00
121,Eminem,Without Me,The Eminem Show,album,0.91,0.67,7.00,-2.83,0.07,0.00,0.00,0.24,0.66,112.24,290320.00
122,Eminem,The Real Slim Shady,The Marshall Mathers LP,album,0.95,0.66,5.00,-4.24,0.06,0.03,0.00,0.05,0.76,104.50,284200.00
123,Eminem,Superman,The Eminem Show,album,0.80,0.76,4.00,-3.14,0.06,0.02,0.00,0.30,0.58,130.03,350320.00
124,Eminem,Till I Collapse,The Eminem Show,album,0.55,0.85,1.00,-3.24,0.19,0.06,0.00,0.08,0.10,171.45,297787.00
125,Eminem,Stan,The Marshall Mathers LP,album,0.78,0.77,6.00,-4.33,0.24,0.04,0.00,0.52,0.51,80.06,404107.00
126,Eminem,Love The Way You Lie,Recovery,album,0.75,0.93,10.00,-5.03,0.23,0.24,0.00,0.52,0.64,86.99,263373.00
127,Eminem,Godzilla (feat. Juice WRLD),Music To Be Murdered By,album,0.81,0.75,10.00,-5.26,0.34,0.15,0.00,0.29,0.83,166.00,210800.00
128,Eminem,Sing For The Moment,The Eminem Show,album,0.67,0.82,5.00,-4.16,0.14,0.00,0.00,0.04,0.19,163.96,339547.00
129,Eminem,Not Afraid,Recovery,album,0.86,0.95,0.00,-1.19,0.26,0.53,0.00,0.21,0.67,114.64,248133.00
130,Pharrell Williams,"Happy - From ""Despicable Me 2""",G I R L,album,0.65,0.82,5.00,-4.66,0.18,0.22,0.00,0.09,0.96,160.02,232720.00
131,Pharrell Williams,Down In Atlanta,Down In Atlanta,single,0.85,0.82,7.00,-5.17,0.21,0.34,0.00,0.07,0.90,83.15,164041.00
132,Pharrell Williams,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Funk Wav Bounces Vol.1,album,0.89,0.75,11.00,-3.11,0.06,0.06,0.00,0.09,0.87,101.02,223413.00
133,Pharrell Williams,Cash In Cash Out,Cash In Cash Out,single,0.88,0.56,7.00,-3.75,0.06,0.01,0.00,0.08,0.15,119.97,216136.00
134,Pharrell Williams,"Stay With Me (with Justin Timberlake, Halsey & Pharrell)",Funk Wav Bounces Vol. 2,album,0.81,0.73,9.00,-6.34,0.04,0.28,0.00,0.29,0.90,125.98,229283.00
135,Pharrell Williams,Hit Different,Hit Different,single,0.68,0.52,0.00,-6.37,0.05,0.20,0.00,0.10,0.72,120.07,202008.00
136,Pharrell Williams,Neon Guts (feat. Pharrell Williams),Luv Is Rage 2,album,0.86,0.56,1.00,-6.64,0.11,0.05,0.00,0.07,0.41,119.93,258789.00
137,Pharrell Williams,JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),CALL ME IF YOU GET LOST,album,0.83,0.57,11.00,-7.95,0.37,0.02,0.00,0.17,0.62,142.03,146419.00
138,Pharrell Williams,Just A Cloud Away,Just A Cloud Away,single,0.89,0.46,2.00,-8.16,0.04,0.43,0.00,0.11,0.68,112.56,176078.00
139,Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,The Neptunes Present... Clones,album,0.89,0.40,9.00,-5.91,0.13,0.45,0.00,0.08,0.76,102.01,236507.00
140,Khalid,lovely (with Khalid),lovely (with Khalid),single,0.35,0.30,4.00,-10.11,0.03,0.93,0.00,0.10,0.12,115.28,200186.00
141,Khalid,Numb,Numb,single,0.91,0.77,0.00,-4.67,0.05,0.12,0.01,0.10,0.63,119.97,155589.00
142,Khalid,Silence,Silence,single,0.52,0.76,4.00,-3.09,0.09,0.26,0.00,0.17,0.29,141.97,180823.00
143,Khalid,Young Dumb & Broke,American Teen,album,0.80,0.54,1.00,-6.35,0.04,0.20,0.00,0.17,0.39,136.95,202547.00
144,Khalid,Eastside (with Halsey & Khalid),FRIENDS KEEP SECRETS,album,0.63,0.69,6.00,-7.67,0.24,0.55,0.00,0.20,0.33,89.95,170770.00
145,Khalid,Better,Suncity,album,0.60,0.55,0.00,-10.28,0.10,0.08,0.33,0.10,0.11,97.95,229320.00
146,Khalid,Location,American Teen,album,0.74,0.45,1.00,-11.46,0.43,0.33,0.00,0.09,0.33,80.13,219080.00
147,Khalid,8TEEN,American Teen,album,0.83,0.59,1.00,-5.80,0.04,0.23,0.00,0.06,0.64,105.03,228600.00
148,Khalid,Beautiful People (feat. Khalid),No.6 Collaborations Project,album,0.64,0.65,5.00,-8.11,0.19,0.12,0.00,0.08,0.55,92.98,197867.00
149,Khalid,Love Lies (with Normani),Love Lies (with Normani),single,0.71,0.65,6.00,-5.63,0.04,0.10,0.00,0.13,0.34,143.96,201707.00
150,Shakira,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",single,0.78,0.63,2.00,-5.60,0.05,0.27,0.00,0.09,0.50,122.10,218289.00
151,Shakira,Monotonía,Monotonía,single,0.87,0.70,0.00,-4.21,0.05,0.42,0.00,0.21,0.82,131.96,158805.00
152,Shakira,Te Felicito,Te Felicito,single,0.70,0.64,5.00,-4.65,0.32,0.23,0.00,0.08,0.58,174.14,172235.00
153,Shakira,Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",album,0.78,0.82,10.00,-5.89,0.07,0.28,0.00,0.41,0.76,100.02,218093.00
154,Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Listen Up! The Official 2010 FIFA World Cup Album,compilation,0.76,0.87,2.00,-6.41,0.15,0.01,0.00,0.07,0.75,126.99,202627.00
155,Shakira,DON'T YOU WORRY,ELEVATION,album,0.83,0.87,11.00,-5.28,0.03,0.18,0.00,0.18,0.48,131.97,194438.00
156,Shakira,Dia de Enero,"Fijación Oral, Vol. 1",album,0.69,0.36,10.00,-11.59,0.08,0.35,0.00,0.11,0.53,165.75,173133.00
157,Shakira,Chantaje (feat. Maluma),El Dorado,album,0.85,0.77,8.00,-2.92,0.08,0.19,0.00,0.16,0.91,102.03,195840.00
158,Shakira,Inevitable,Donde Estan Los Ladrones,album,0.60,0.46,6.00,-7.79,0.06,0.27,0.00,0.12,0.34,91.98,192867.00
159,Shakira,Antologia,Pies Descalzos,album,0.84,0.40,0.00,-11.06,0.03,0.50,0.00,0.08,0.58,97.97,254240.00
160,Machine Gun Kelly,my ex's best friend (with blackbear),Tickets To My Downfall,album,0.73,0.68,5.00,-5.13,0.04,0.00,0.00,0.14,0.30,124.94,139461.00
161,Machine Gun Kelly,I Think I'm OKAY (with YUNGBLUD & Travis Barker),Hotel Diablo,album,0.63,0.74,7.00,-4.72,0.04,0.03,0.00,0.31,0.28,119.92,169397.00
162,Machine Gun Kelly,maybe (feat. Bring Me The Horizon),mainstream sellout,album,0.60,0.92,5.00,-4.80,0.05,0.00,0.00,0.10,0.54,88.01,170134.00
163,Machine Gun Kelly,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)","Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha) [From Bright: The Album]",single,0.65,0.72,3.00,-5.23,0.21,0.00,0.00,0.05,0.22,82.03,202805.00
164,Machine Gun Kelly,forget me too (feat. Halsey),Tickets To My Downfall,album,0.65,0.88,1.00,-4.85,0.07,0.00,0.01,0.19,0.52,99.98,171621.00
165,Machine Gun Kelly,bloody valentine,Tickets To My Downfall,album,0.53,0.86,2.00,-4.21,0.08,0.00,0.00,0.15,0.51,160.06,205159.00
166,Machine Gun Kelly,Bad Things (with Camila Cabello),bloom,album,0.70,0.69,2.00,-4.76,0.15,0.21,0.00,0.19,0.31,137.85,239293.00
167,Machine Gun Kelly,make up sex (feat. blackbear),mainstream sellout,album,0.67,0.68,5.00,-4.12,0.03,0.00,0.00,0.47,0.68,131.99,122570.00
168,Machine Gun Kelly,"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",F*CK LOVE 3+: OVER YOU,album,0.72,0.63,5.00,-6.70,0.04,0.07,0.00,0.29,0.30,92.06,144860.00
169,Machine Gun Kelly,ay! (feat. Lil Wayne),mainstream sellout,album,0.74,0.62,2.00,-6.69,0.03,0.05,0.00,0.07,0.49,147.00,124188.00
170,Nicky Jam,X,Intimo,album,0.59,0.75,9.00,-5.30,0.06,0.03,0.00,0.30,0.69,179.97,172854.00
171,Nicky Jam,El Perdón (with Enrique Iglesias),Fénix,album,0.63,0.69,8.00,-5.83,0.05,0.44,0.00,0.11,0.66,179.91,205907.00
172,Nicky Jam,Bella y Sensual,Golden,album,0.64,0.71,11.00,-6.91,0.09,0.23,0.00,0.05,0.75,179.86,204701.00
173,Nicky Jam,"Nicky Jam: Bzrp Music Sessions, Vol. 41","Nicky Jam: Bzrp Music Sessions, Vol. 41",single,0.63,0.85,1.00,-3.17,0.15,0.09,0.00,0.15,0.82,89.91,158087.00
174,Nicky Jam,Cuaderno,Climaxxx,album,0.68,0.65,1.00,-5.02,0.38,0.52,0.00,0.10,0.69,172.02,286507.00
175,Nicky Jam,En La Cama (feat. Daddy Yankee),Exitos,album,0.86,0.91,10.00,-4.83,0.15,0.18,0.00,0.12,0.89,104.07,157023.00
